turn,total_drivers,min_speed,avg_speed,max_speed
1,3,0,0.0,0
2,6,0,0.3333333333333333,1
3,9,0,0.75,2
4,12,0,0.8333333333333334,2
5,15,0,1.0,2
6,15,0,1.625,3
7,17,0,1.6666666666666667,4
8,18,0,1.9,5
9,20,0,2.0,6
10,22,0,2.5,7
11,22,0,3.0,8
12,23,0,3.3333333333333335,9
13,25,0,3.8666666666666667,10
14,25,0,4.0,10
15,27,0,3.5294117647058822,9
16,27,0,3.789473684210526,10
17,28,0,4.190476190476191,10
18,30,0,3.6363636363636362,10
19,32,0,3.772727272727273,9
20,32,0,4.636363636363637,10
21,32,0,3.739130434782609,10
22,32,0,3.96,10
23,34,0,3.5555555555555554,10
24,37,0,3.8518518518518516,10
25,37,0,3.7857142857142856,10
26,38,0,3.9310344827586206,10
27,38,0,4.103448275862069,10
28,38,0,3.9310344827586206,9
29,39,0,4.133333333333334,10
30,40,0,3.838709677419355,10
31,39,0,3.8,9
32,39,0,3.90625,10
33,40,0,3.96875,10
34,40,0,3.6875,10
35,41,0,3.53125,10
36,41,0,3.8181818181818183,10
37,42,0,3.727272727272727,10
38,43,0,3.6285714285714286,10
39,45,0,3.7837837837837838,10
40,45,0,3.6,10
41,45,0,3.5675675675675675,9
42,46,0,3.7777777777777777,10
43,45,0,3.861111111111111,10
44,44,0,3.7777777777777777,10
45,45,0,3.8285714285714287,10
46,43,0,3.735294117647059,10
47,44,0,3.6857142857142855,10
48,44,0,2.9714285714285715,10
49,44,0,3.1944444444444446,10
50,44,0,2.8857142857142857,9
51,45,0,3.111111111111111,10
52,46,0,3.4324324324324325,10
53,46,0,3.108108108108108,10
54,45,0,2.9722222222222223,10
55,46,0,3.0,10
56,47,0,2.7837837837837838,10
57,47,0,2.7435897435897436,10
58,48,0,2.641025641025641,9
59,49,0,2.707317073170732,9
60,49,0,2.761904761904762,10
61,50,0,2.926829268292683,10
62,51,0,3.2142857142857144,10
63,50,0,3.3095238095238093,10
64,50,0,2.9761904761904763,9
65,52,0,3.4651162790697674,10
66,52,0,3.395348837209302,10
67,52,0,3.372093023255814,10
68,52,0,3.372093023255814,10
69,52,0,3.477272727272727,10
70,54,0,3.659090909090909,10
71,52,0,3.3181818181818183,10
72,53,0,3.046511627906977,10
73,51,0,2.953488372093023,10
74,53,0,3.022727272727273,10
75,53,0,2.7045454545454546,10
76,53,0,2.511111111111111,10
77,55,0,2.782608695652174,10
78,55,0,2.782608695652174,10
79,56,0,2.702127659574468,10
80,54,0,2.2888888888888888,8
81,54,0,2.382978723404255,9
82,57,0,2.4583333333333335,10
83,58,0,2.489795918367347,10
84,58,0,2.3877551020408165,10
85,58,0,2.7142857142857144,10
86,58,0,2.64,10
87,59,0,2.5510204081632653,9
88,59,0,2.607843137254902,10
89,61,0,2.7115384615384617,10
90,60,0,2.588235294117647,10
91,60,0,2.549019607843137,10
92,59,0,2.7254901960784315,10
93,60,0,2.627450980392157,10
94,60,0,2.7058823529411766,9
95,60,0,3.0,10
